PMID,Title,Abstract,Keywords,Year,Journal
38166847,Traditional Chinese medicine inspired dual-drugs loaded inhalable nano-therapeutics alleviated idiopathic pulmonary fibrosis by targeting early inflammation and late fibrosis.,"Idiopathic pulmonary fibrosis (IPF) is a highly debilitating and fatal chronic lung disease that is difficult to cure clinically. IPF is characterized by a gradual decline in lung function, which leads to respiratory failure and severely affects patient quality of life and survival. Oxidative stress and chronic inflammation are believed to be important pathological mechanisms underlying the onset and progression of IPF, and the vicious cycle of NOX4-derived ROS, NLRP3 inflammasome activation, and p38 MAPK in pulmonary fibrogenesis explains the ineffectiveness of single-target or single-drug interventions. In this study, we combined astragaloside IV (AS-IV) and ligustrazine (LIG) based on the fundamental theory of traditional Chinese medicine (TCM) of ""tonifying qi and activating blood"" and loaded these drugs onto nanoparticles (AS_LIG@PPGC NPs) that were inhalable and could penetrate the mucosal barrier. Our results suggested that inhalation of AS_LIG@PPGC NPs significantly improved bleomycin-induced lung injury and fibrosis by regulating the NOX4-ROS-p38 MAPK and NOX4-NLRP3 pathways to treat and prevent IPF. This study not only demonstrated the superiority, feasibility, and safety of inhalation therapy for IPF intervention but also confirmed that breaking the vicious cycle of ROS and the NLRP3 inflammasome is a promising strategy for the successful treatment of IPF. Moreover, this successful nanoplatform is a good example of the integration of TCM and modern medicine.","Humans, NLR Family, Pyrin Domain-Containing 3 Protein, Medicine, Chinese Traditional, Inflammasomes, Reactive Oxygen Species, Quality of Life, Idiopathic Pulmonary Fibrosis, Lung, Fibrosis, Inflammation, p38 Mitogen-Activated Protein Kinases",2024,Journal of nanobiotechnology
32812291,T-Cell-Mimicking Nanoparticles for Cancer Immunotherapy.,"Cancer immunotherapies, including adoptive T cell transfer and immune checkpoint blockades, have recently shown considerable success in cancer treatment. Nevertheless, transferred T cells often become exhausted because of the immunosuppressive tumor microenvironment. Immune checkpoint blockades, in contrast, can reinvigorate the exhausted T cells; however, the therapeutic efficacy is modest in 70-80% of patients. To address some of the challenges faced by the current cancer treatments, here T-cell-membrane-coated nanoparticles (TCMNPs) are developed for cancer immunotherapy. Similar to cytotoxic T cells, TCMNPs can be targeted at tumors via T-cell-membrane-originated proteins and kill cancer cells by releasing anticancer molecules and inducing Fas-ligand-mediated apoptosis. Unlike cytotoxic T cells, TCMNPs are resistant to immunosuppressive molecules (e.g., transforming growth factor-β1 (TGF-β1)) and programmed death-ligand 1 (PD-L1) of cancer cells by scavenging TGF-β1 and PD-L1. Indeed, TCMNPs exhibit higher therapeutic efficacy than an immune checkpoint blockade in melanoma treatment. Furthermore, the anti-tumoral actions of TCMNPs are also demonstrated in the treatment of lung cancer in an antigen-nonspecific manner. Taken together, TCMNPs have a potential to improve the current cancer immunotherapy.","Biomimetic Materials, Cell Line, Tumor, Humans, Immunotherapy, Nanomedicine, Nanoparticles, T-Lymphocytes",2020,"Advanced materials (Deerfield Beach, Fla.)"
36946288,Ultrasound nanomedicine and materdicine.,"The conventional microbubble-based ultrasound biomedicine clinically plays a vital role in providing the dynamic detection of macro and microvasculature and disease theranostics. However, the intrinsic limitation of particle size severely decreases the treatment effectiveness due to their vascular transport characteristics, which promotes the development and application of multifunctional ultrasound-responsive nanomaterials. Herein, we put forward a research field of ""ultrasound nanomedicine and materdicine"", referring to the interdiscipline of ultrasound, nanobiotechnology and materials, which seeks to produce specific biological effects for addressing the challenges faced and dilemma of conventional ultrasound medicine. We comprehensively summarize the state-of-the-art scientific advances in the latest progress in constructing ultrasound-based platforms and ultrasound-activated sonosensitizers, ranging from the synthesis strategies, biological functions to ultrasound-triggered therapeutic applications. Ultimately, the unresolved challenges and clinical-translation potentials of ultrasound nanomedicine and materdicine are discussed and prospected in this evolving field.","Nanomedicine, Ultrasonography, Nanostructures, Microbubbles",2023,Journal of materials chemistry. B
38865465,Realveolarization with inhalable mucus-penetrating lipid nanoparticles for the treatment of pulmonary fibrosis in mice.,"The stemness loss-associated dysregeneration of impaired alveolar type 2 epithelial (AT2) cells abolishes the reversible therapy of idiopathic pulmonary fibrosis (IPF). We here report an inhalable mucus-penetrating lipid nanoparticle (LNP) for codelivering dual mRNAs, promoting realveolarization via restoring AT2 stemness for IPF treatment. Inhalable LNPs were first formulated with dipalmitoylphosphatidylcholine and our in-house-made ionizable lipids for high-efficiency pulmonary mucus penetration and codelivery of dual messenger RNAs (mRNAs), encoding cytochrome b5 reductase 3 and bone morphogenetic protein 4, respectively. After being inhaled in a bleomycin model, LNPs reverses the mitochondrial dysfunction through ameliorating nicotinamide adenine dinucleotide biosynthesis, which inhibits the accelerated senescence of AT2 cells. Concurrently, pathological epithelial remodeling and fibroblast activation induced by impaired AT2 cells are terminated, ultimately prompting alveolar regeneration. Our data demonstrated that the mRNA-LNP system exhibited high protein expression in lung epithelial cells, which markedly extricated the alveolar collapse and prolonged the survival of fibrosis mice, providing a clinically viable strategy against IPF.","Animals, Nanoparticles, Mice, Mucus, Bleomycin, Idiopathic Pulmonary Fibrosis, Alveolar Epithelial Cells, Disease Models, Animal, Administration, Inhalation, Lipids, Pulmonary Fibrosis, Pulmonary Alveoli, RNA, Messenger, Humans, Liposomes",2024,Science advances
39045614,Translational hurdles in anti-asthmatic nanomedicine development.,No abstract,"Humans, Nanomedicine, Asthma, Anti-Asthmatic Agents, Drug Development, Drug Delivery Systems, Animals, Nanoparticles, Translational Research, Biomedical",2024,Expert opinion on drug delivery
39411684,Inhalable and bioactive lipid-nanomedicine based on bergapten for targeted acute lung injury therapy via orchestrating macrophage polarization.,"Acute lung injury (ALI) or its more severe form, acute respiratory distress syndrome, is a life-threatening disease closely associated with an imbalance of M1/M2 macrophage polarization. However, current therapeutic strategies for ALI are controversial due to their side effects, restricted administration routes, or poor targeted delivery. The development of herbal medicine has uncovered numerous anti-inflammatory compounds potentially beneficial for ALI therapy. One such compound is the bergapten, a coumarin, which has been isolated from <i>Ficus simplicissima</i> Lour. However, it's been used as an anti-cancer drug and it's effects on ALI remain unexplored. The poor solubility and biodistribution of bergapten heavily limit its application. In this timely report, we developed a bioactive and lung-targeting lipid-nanomedicine by integrating bergapten and DPPC liposome, named as Ber-lipo. A comprehensive series of <i>in vitro</i> experiments confirmed the anti-inflammatory effects of Ber-lipo and its protective roles in maintaining the homeostasis of macrophage polarization and epithelial-endothelial integrity. In a lipopolysaccharide (LPS)-induced ALI mouse model, Ber-lipo can target inflamed lungs and significantly improve lung edema, tissue injury, and pulmonary function, relieve body weight loss, pulmonary permeability, and proinflammatory status, and especially maintain a balance of M1/M2 macrophage polarization. Furthermore, RNA sequencing analysis showed Ber-lipo's potential in effectively treating inflammatory lung diseases such as pneumonia, inhibiting proinflammatory signals, and altering the transcriptome of M1/M2 macrophages-associated genes in lung tissues. Molecular docking and Western blot analyses validated that Ber-lipo suppressed the activation of the TLR4/MyD88/NF-κB signaling axis responsible for ALI progression. In conclusion, this study demonstrates for the first time that new inhalable nanomedicine (Ber-lipo) can target inflamed lungs and ameliorates ALI by reprogramming macrophage polarization to an anti-inflammatory state via inactivating the TLR4/MyD88/NF-κB pathway, hence providing a promising strategy for enhanced ALI therapy in the clinic.",,2025,Bioactive materials
35188021,Nanocrystals based pulmonary inhalation delivery system: advance and challenge.,"Pulmonary inhalation administration is an ideal approach to locally treat lung disease and to achieve systemic administration for other diseases. However, the complex nature of the structural characteristics of the lungs often results in the difficulty in the development of lung inhalation preparations. Nanocrystals technology provides a potential formulation strategy for the pulmonary delivery of poorly soluble drugs, owing to the decreased particle size of drug, which is a potential approach to overcome the physiological barrier existing in the lungs and significantly increased bioavailability of drugs. The pulmonary inhalation administration has attracted considerable attentions in recent years. This review discusses the barriers for pulmonary drug delivery and the recent advance of the nanocrystals in pulmonary inhalation delivery. The presence of nanocrystals opens up new prospects for the development of novel pulmonary delivery system. The particle size control, physical instability, potential cytotoxicity, and clearance mechanism of inhaled nanocrystals based formulations are the major considerations in formulation development.","Administration, Inhalation, Cell Survival, Chemistry, Pharmaceutical, Drug Carriers, Drug Liberation, Drug Stability, Freeze Drying, Lung, Macrophages, Alveolar, Nanoparticles, Particle Size, Pulmonary Surfactants, Solubility, Technology, Pharmaceutical",2022,Drug delivery
38553716,"Novel inhalation therapy in pulmonary fibrosis: principles, applications and prospects.","Pulmonary fibrosis (PF) threatens millions of people worldwide with its irreversible progression. Although the underlying pathogenesis of PF is not fully understood, there is evidence to suggest that the disease can be blocked at various stages. Inhalation therapy has been applied for lung diseases such as asthma and chronic obstructive pulmonary disease, and its application for treating PF is currently under consideration. New techniques in inhalation therapy, such as the application of microparticles and nanoparticles, traditional Chinese medicine monomers, gene therapy, inhibitors, or agonists of signaling pathways, extracellular vesicle interventions, and other specific drugs, are effective in treating PF. However, the safety and effectiveness of these therapeutic techniques are influenced by the properties of inhaled particles, biological and pathological barriers, and the type of inhalation device used. This review provides a comprehensive overview of the pharmacological, pharmaceutical, technical, preclinical, and clinical experimental aspects of novel inhalation therapy for treating PF and focus on therapeutic methods that significantly improve existing technologies or expand the range of drugs that can be administered via inhalation. Although inhalation therapy for PF has some limitations, the advantages are significant, and further research and innovation about new inhalation techniques and drugs are encouraged.","Humans, Pulmonary Fibrosis, Administration, Inhalation, Pulmonary Disease, Chronic Obstructive, Asthma, Respiratory Therapy",2024,Journal of nanobiotechnology
37432926,Targeted Nanocarriers Co-Opting Pulmonary Intravascular Leukocytes for Drug Delivery to the Injured Brain.,"<i>Ex vivo</i>-loaded white blood cells (WBC) can transfer cargo to pathological foci in the central nervous system (CNS). Here we tested affinity ligand driven <i>in vivo</i> loading of WBC in order to bypass the need for <i>ex vivo</i> WBC manipulation. We used a mouse model of acute brain inflammation caused by local injection of tumor necrosis factor alpha (TNF-α). We intravenously injected nanoparticles targeted to intercellular adhesion molecule 1 (anti-ICAM/NP). We found that (A) at 2 h, >20% of anti-ICAM/NP were localized to the lungs; (B) of the anti-ICAM/NP in the lungs >90% were associated with leukocytes; (C) at 6 and 22 h, anti-ICAM/NP pulmonary uptake decreased; (D) anti-ICAM/NP uptake in brain increased up to 5-fold in this time interval, concomitantly with migration of WBCs into the injured brain. Intravital microscopy confirmed transport of anti-ICAM/NP beyond the blood-brain barrier and flow cytometry demonstrated complete association of NP with WBC in the brain (98%). Dexamethasone-loaded anti-ICAM/liposomes abrogated brain edema in this model and promoted anti-inflammatory M2 polarization of macrophages in the brain. <i>In vivo</i> targeted loading of WBC in the intravascular pool may provide advantages of coopting WBC predisposed to natural rapid mobilization from the lungs to the brain, connected directly via conduit vessels.","Mice, Animals, Drug Delivery Systems, Lung, Brain, Liposomes, Leukocytes, Intercellular Adhesion Molecule-1",2023,ACS nano
22143548,Formulation and evaluation of celastrol-loaded liposomes.,"The main purpose of this study was to evaluate the intestinal absorption and the antineoplastic effect of the poorly water-soluble drug celastrol when liposomes were used as oral drug delivery system. Liposomes were prepared by the ethanol-injection method. An optimized liposome formulation composed of phospholipid, cholesterol and Tween-80 resulted in favorable encapsulation efficiency at 98.06 ± 0.94%. Homogeneous and stable particle size of 89.6 ± 7.3 nm and zeta potential of -(87.7 ± 5.8) mV were determined by laser particle size analyzer. Subsequently, the four-site perfusion rat intestinal model revealed that celastrol-loaded liposomes had improved effective permeability compared to the free drug in four intestinal segments (p < 0.05). Moreover, celastrol-loaded liposomes could also inhibit the tumor growth in C57BL/6 mice. These results suggest that liposomes could be a promising perioral carrier for celastrol.","Animals, Antineoplastic Agents, Carcinoma, Lewis Lung, Chemistry, Pharmaceutical, Drug Delivery Systems, Intestinal Absorption, Intestines, Liposomes, Male, Medicine, Chinese Traditional, Mice, Mice, Inbred C57BL, Pentacyclic Triterpenes, Perfusion, Rats, Rats, Sprague-Dawley, Triterpenes",2011,"Molecules (Basel, Switzerland)"
33088690,Glycoside scutellarin enhanced CD-MOF anchoring for laryngeal delivery.,"It is essential to develop new carriers for laryngeal drug delivery in light of the lack of therapy in laryngeal related diseases. When the inhalable micron-sized crystals of <i>γ</i>-cyclodextrin metal-organic framework (CD-MOF) was utilized as dry powder inhalers (DPIs) carrier with high fine particle fraction (FPF), it was found in this research that the encapsulation of a glycoside compound, namely, scutellarin (SCU) in CD-MOF could significantly enhance its laryngeal deposition. Firstly, SCU loading into CD-MOF was optimized by incubation. Then, a series of characterizations were carried out to elucidate the mechanisms of drug loading. Finally, the laryngeal deposition rate of CD-MOF was 57.72 ± 2.19% improved by SCU, about two times higher than that of CD-MOF, when it was determined by Next Generation Impactor (NGI) at 65 L/min. As a proof of concept, pharyngolaryngitis therapeutic agent dexamethasone (DEX) had improved laryngeal deposition after being co-encapsulated with SCU in CD-MOF. The molecular simulation demonstrated the configuration of SCU in CD-MOF and its contribution to the free energy of the SCU@CD-MOF, which defined the enhanced laryngeal anchoring. In conclusion, the glycosides-like SCU could effectively enhance the anchoring of CD-MOF particles to the larynx to facilitate the treatment of laryngeal diseases.",,2020,Acta pharmaceutica Sinica. B
27682265,Biomaterial microarchitecture: a potent regulator of individual cell behavior and multicellular organization.,"Insoluble cues from a cell's surrounding microenvironment have increasingly been shown to be important regulators of cell behavior. The microarchitecture of biomaterials used for 3D cell encapsulation, however, is often underappreciated as an important insoluble factor guiding cell activity. In this review, we illustrate that the subcellular physical features of a scaffold influence a range of cell behaviors, including morphology, cytoskeletal organization, migration, matrix remodeling, and long-range force transmission. We emphasize that the microarchitecture of stromal extracellular matrix (ECM)-specifically the fact that it consists of a network of long interconnecting fibers with micron and nanometer-sized diameters-is an important determinant of how cells naturally interact with their surrounding matrix and each other. Synthetic biomaterials with a microarchitecture similar to stromal ECM can support analogous cellular responses, suggesting that this fibrous microarchitecture is a key regulator of these cell behaviors. Drawing upon examples from in vitro, in silico, and in vivo studies, we compare these behaviors in fibrous matrices to those of cells cultured within nanoporous matrices (e.g., alginate and PEG gels) as well as macroporous scaffolds to highlight key differences in the cellular response to each type of microarchitecture. Understanding how microarchitecture affects cell behavior can lead to more efficient biomaterial selection when designing tissue engineered scaffolds for therapeutic applications. © 2016 Wiley Periodicals, Inc. J Biomed Mater Res Part A: 105A: 640-661, 2017.","Alginates, Animals, Biocompatible Materials, Cells, Immobilized, Cellular Microenvironment, Gels, Glucuronic Acid, Hexuronic Acids, Humans, Nanoparticles, Polyethylene Glycols, Porosity",2017,Journal of biomedical materials research. Part A
32991664,Immunogenic exosome-encapsulated black phosphorus nanoparticles as an effective anticancer photo-nanovaccine.,"Tumor vaccines are a promising form of cancer immunotherapy, but difficulties such as neo-antigen identification, activation of immune cells, and tumor infiltration prevent their clinical breakthrough. Interestingly, nanotechnology-based photothermal therapy (PTT) has great potential to overcome these barriers. Previous studies have shown that serum exosomes (hEX) from hyperthermia-treated tumor-bearing mice displayed an array of patient-specific tumor-associated antigens (TAAs), and strong immunoregulatory abilities in promoting dendritic cell (DC) differentiation and maturation. Here, we developed a tumor vaccine (hEX@BP) by encapsulating black phosphorus quantum dots (BPQDs) with exosomes (hEX) against a murine subcutaneous lung cancer model. In comparison with BPQDs alone (BP), hEX@BP demonstrated better long-term PTT performance, greater elevation of tumor temperature and tumor targeting efficacy in vivo. Vaccination with hEX@BP in combination with PTT further demonstrated an outstanding therapeutic efficacy against established lung cancer, and promoted the infiltration of T lymphocytes into the tumor tissue. Our findings demonstrated that hEX@BP might be an innovative cancer photo-nanovaccine that offers effective immuno-PTT against cancers.","Animals, Cancer Vaccines, Dendritic Cells, Exosomes, Humans, Immunotherapy, Mice, Nanoparticles, Phosphorus",2020,Nanoscale
39895155,The Optimized Lipid-Modified Prodrug for CNV Treatment.,"Choroidal neovascularization (CNV) is a prevalent cause of vision impairment. The primary treatment for CNV involves intravitreal injections of anti-vascular endothelial growth factor antibodies. Nevertheless, this approach still faces numerous limitations like poor patient compliance, high therapy expenditure and lack of response in some individuals. Herein, a series of anti-neovascularization prodrugs, SU5402 (SU), modified with lipids of varying chain lengths (C12, C16, C20, C24, C28) is synthesized (SU-C12, SU-C16, SU-C20, SU-C24, SU-C28). 1% polyvinyl alcohol (PVA) is used as a stabilizer to create nanoformulations of five prodrugs named SU-C12 NPs, SU-C16 NPs, SU-C20 NPs, SU-C24 NPs, SU-C28 NPs. Among these, SU-C20 NPs significantly prolong the retention of bioactive drug in the eye for up to 70 d. Moreover, SU-C20 NPs demonstrate superior tissue permeability via enhanced cellular endocytosis and exocytosis. With its prolonged retention and improved penetration, SU-C20 NPs reduce the fluorescence intensity of fundus leakage by 42.5% and the fluorescence area by 51.5% in CNV mice after four weeks, effectively inhibiting the progression of CNV. Altogether, small molecule drug SU is innovatively modified to improve its effectiveness for treating fundus neovascular diseases, proposing an alternative therapy for wet age-related macular degeneration (wAMD).","Prodrugs, Animals, Choroidal Neovascularization, Mice, Lipids, Nanoparticles, Angiogenesis Inhibitors, Humans",2025,"Advanced materials (Deerfield Beach, Fla.)"
